1,1,1,29,29,65,42,122,105,142,124,
1,2,2,9,4,64,104,113,122,79,-5,
1,3,3,-19,-16,99,63,124,63,111,181,
1,4,4,-72,-68,133,136,205,23,54,104,
1,5,1,43,43,103,90,86,106,157,64,
1,6,2,33,16,139,107,80,138,120,74,
1,7,3,-13,-10,-27,75,123,84,20,69,
1,8,4,-104,-100,74,118,136,52,59,122,
1,9,1,80,80,153,127,58,58,35,104,
1,10,2,71,35,68,125,10,101,95,152,
1,11,3,3,1,100,145,106,75,177,82,
1,12,4,-48,-44,1,160,138,101,120,104,
1,13,1,39,39,55,103,102,121,16,155,
1,14,2,27,13,142,152,268,69,103,88,
1,15,3,20,6,61,111,122,29,135,134,
1,16,4,-8,-4,63,60,178,132,98,84,
1,17,1,49,49,165,61,32,134,85,125,
1,18,2,46,23,166,77,53,83,119,72,
1,19,3,-1,2,171,36,59,118,115,114,
1,20,4,-65,-61,53,71,126,186,199,165,
2,1,1,61,61,68,132,10,121,95,152,
2,2,2,57,28,153,127,58,58,35,104,
2,3,3,29,9,68,125,10,101,95,152,
2,4,4,21,5,55,103,102,69,16,155,
2,5,1,93,93,55,105,-27,121,16,155,
2,6,2,64,32,165,125,10,134,85,125,
2,7,3,43,14,166,127,53,58,35,104,
2,8,4,43,10,153,111,122,58,35,104,
2,9,1,75,75,139,90,86,138,120,64,
2,10,2,54,27,139,103,80,138,120,74,
2,11,3,34,11,55,107,102,138,120,155,
2,12,4,30,7,165,125,23,134,95,152,
2,13,1,2,2,68,77,53,83,119,152,
2,14,2,-11,-9,55,103,102,69,16,155,
2,15,3,-35,-32,165,125,10,134,85,125,
2,16,4,-78,-74,103,127,58,106,157,64,
2,17,1,72,72,61,103,102,121,135,65,
2,18,2,26,13,61,103,102,121,135,65,
2,19,3,7,2,165,152,268,69,52,88,
2,20,4,4,1,65,61,122,134,93,82,
3,1,1,53,53,166,36,59,58,115,104,
3,2,2,15,7,139,105,86,138,16,64,
3,3,3,-43,-40,61,132,10,121,95,152,
3,4,4,-63,-59,55,77,53,147,119,72,
3,5,1,58,58,139,90,86,138,120,100,
3,6,2,57,28,55,105,-27,134,85,125,
3,7,3,50,16,55,132,10,121,95,155,
3,8,4,9,2,55,90,102,138,120,155,
3,9,1,-21,-20,139,105,86,138,16,64,
3,10,2,-46,-44,165,105,-27,134,16,125,
3,11,3,-95,-92,55,105,59,121,16,155,
3,12,4,-103,-99,139,132,10,121,95,64,
3,13,1,125,125,165,77,53,83,85,72,
3,14,2,80,40,139,105,86,138,16,64,
3,15,3,47,15,55,105,102,121,135,155,
3,16,4,42,10,139,90,86,138,120,74,
3,17,1,19,19,165,105,-27,134,16,125,
3,18,2,-11,-9,61,103,80,138,135,65,
3,19,3,-29,-26,55,132,-27,121,95,155,
3,20,4,-33,-29,55,77,53,147,119,72,
4,1,1,78,78,165,36,53,58,115,104,
4,2,2,67,33,165,77,53,83,85,65,
4,3,3,25,8,61,36,102,121,135,104,
4,4,4,-28,-24,61,103,102,83,135,65,
4,5,1,53,53,165,105,-27,134,85,125,
4,6,2,5,2,55,105,-27,134,85,125,
4,7,3,-16,-13,165,90,86,83,120,100,
4,8,4,-30,-26,166,103,135,121,115,161,
4,9,1,85,85,165,105,86,138,85,72,
4,10,2,74,37,139,90,86,121,120,65,
4,11,3,67,22,55,36,59,58,115,104,
4,12,4,26,6,55,175,86,121,120,100,
4,13,1,27,27,165,36,53,83,115,72,
4,14,2,2,1,165,77,-27,83,192,72,
4,15,3,-11,-8,165,105,53,121,85,155,
4,16,4,-89,-85,61,103,102,83,135,65,
4,17,1,-7,-6,166,103,135,121,115,161,
4,18,2,-34,-32,165,77,53,83,85,110,
4,19,3,-51,-48,166,103,135,121,115,161,
4,20,4,-65,-61,165,36,53,83,115,72,
5,1,1,62,62,165,90,53,58,115,104,
5,2,2,50,25,165,36,53,83,85,65,
5,3,3,34,11,165,105,53,83,85,125,
5,4,4,22,5,165,90,53,58,115,104,
5,5,1,82,82,139,90,68,121,120,65,
5,6,2,50,25,165,178,53,83,115,72,
5,7,3,43,14,139,90,68,121,120,65,
5,8,4,29,7,55,36,86,53,115,104,
5,9,1,38,38,124,105,59,134,85,125,
5,10,2,26,13,165,36,53,58,115,104,
5,11,3,-14,-11,165,105,-27,138,16,72,
5,12,4,-88,-84,165,36,53,58,115,104,
5,13,1,23,23,124,105,59,134,85,125,
5,14,2,19,9,165,36,53,83,85,65,
5,15,3,19,6,165,77,53,83,115,65,
5,16,4,-17,-13,55,36,86,53,115,104,
5,17,1,44,44,165,36,53,83,85,65,
5,18,2,33,16,165,36,53,83,85,65,
5,19,3,14,4,165,104,86,138,115,104,
5,20,4,0,0,165,36,86,138,85,72,
6,1,1,95,95,165,104,86,83,115,104,
6,2,2,56,28,165,77,86,83,192,104,
6,3,3,48,16,55,36,59,83,85,104,
6,4,4,44,11,165,36,53,83,115,104,
6,5,1,62,62,165,77,86,83,192,104,
6,6,2,47,23,165,36,53,83,120,72,
6,7,3,-21,-18,165,90,137,58,115,104,
6,8,4,-33,-29,54,90,68,121,120,65,
6,9,1,55,55,55,36,59,83,85,104,
6,10,2,39,19,139,90,68,121,120,65,
6,11,3,31,10,55,36,59,83,85,104,
6,12,4,18,4,165,149,177,134,115,125,
6,13,1,82,82,165,36,53,83,115,72,
6,14,2,66,33,165,104,59,138,115,104,
6,15,3,54,18,165,36,53,121,115,65,
6,16,4,35,8,165,90,53,58,115,104,
6,17,1,47,47,165,36,53,83,115,104,
6,18,2,42,21,139,90,68,58,115,104,
6,19,3,33,11,139,90,68,58,115,104,
6,20,4,-28,-24,165,90,53,58,115,65,
7,1,1,48,48,165,36,53,83,115,72,
7,2,2,25,12,165,36,59,83,115,104,
7,3,3,16,5,165,36,53,83,115,72,
7,4,4,1,0,165,36,53,83,115,72,
7,5,1,43,43,165,36,53,138,115,54,
7,6,2,19,9,139,104,86,121,120,104,
7,7,3,15,5,165,36,53,83,115,72,
7,8,4,-16,-12,165,104,86,83,115,104,
7,9,1,64,64,165,36,53,83,115,72,
7,10,2,56,28,165,36,53,83,115,72,
