55,160,105,68,110,149,
70,104,49,-6,109,136,
87,89,8,113,112,103,
55,159,105,62,116,149,
140,149,50,144,109,136,
96,173,8,86,94,82,
3,132,60,58,97,31,
55,159,174,68,20,135,
87,89,163,131,112,103,
140,146,7,66,-6,12,
7,149,163,131,109,136,
190,93,174,15,127,233,
107,74,95,151,90,55,
95,173,157,92,94,82,
104,161,30,32,110,102,
96,49,61,143,121,111,
109,159,56,68,27,51,
107,74,95,188,31,115,
104,112,103,107,194,53,
70,104,49,-6,130,106,
68,127,88,88,84,116,
107,74,95,42,18,113,
87,160,105,62,123,115,
70,93,50,144,12,22,
130,161,214,107,72,131,
135,-13,106,63,101,55,
135,81,29,63,20,135,
190,95,49,15,127,106,
140,89,59,82,109,136,
70,104,105,-6,32,43,
55,116,87,68,110,32,
130,149,59,111,109,136,
87,180,66,82,112,103,
145,149,7,62,17,136,
222,160,105,62,116,59,
39,88,129,42,18,135,
147,93,88,63,101,55,
211,160,153,26,76,66,
145,149,7,111,109,136,
222,116,163,131,116,32,
